id,date,description,latitude,location,longitude,metadata,name,photos,summary,title
rec_cobdg3tbjt595h6375r0,1997-03-13T06:00:00Z,"The Phoenix Lights is a well-known UFO sighting that occurred on March 13, 1997, in Arizona. It involved thousands of witnesses observing a series of lights moving across the sky, which has since become one of the most documented UFO events in history.

## Overview of the Event

On the night of March 13, 1997, thousands of people in Arizona reported seeing a series of bright lights in a V-shaped formation moving across the sky. The event occurred between 7:30 PM and 10:30 PM, with sightings reported from the Nevada state line, through Phoenix, and into Tucson. The lights were described as being attached to a large, silent craft, and the phenomenon lasted for several hours[3].

## Explanations and Theories

The Phoenix Lights have been subject to various explanations and theories:

1. **Military Exercises**: One explanation suggested that the lights were high-intensity flares dropped by the military during exercises at the nearby Luke Air Force Base. This theory was supported by the fact that similar lights were later identified as flares in other incidents[2].

2. **UFO and Extraterrestrial Theories**: Many people, including some witnesses, believe the lights were evidence of extraterrestrial visitation. This belief was bolstered by the sheer number of witnesses and the lack of a definitive explanation at the time[1].

3. **Skeptical Views**: Skeptics have proposed more mundane explanations, such as aircraft lights or natural phenomena. Some have pointed out that lights in the sky can often be misidentified due to their distance and the observer's perspective[2].

## Impact and Legacy

The Phoenix Lights have had a lasting impact on UFOlogy and public interest in extraterrestrial life. The event has been the subject of books, documentaries, and ongoing debates. Dr. Lynne D. Kitei, a prominent figure in the study of the Phoenix Lights, has documented the event extensively and argues for its significance in UFO history[1].

Former Arizona Governor Fife Symington, who initially mocked the sighting, later admitted that he witnessed the event and described it as ""otherworldly""[1]. The Phoenix Lights continue to be a topic of interest and speculation, contributing to discussions about UFOs and the possibility of extraterrestrial life.

The Phoenix Lights event had a significant impact on public opinion regarding UFOs, contributing to a broader interest and belief in extraterrestrial phenomena. Here are some key aspects of its impact:

1. **Increased Public Interest**: The Phoenix Lights incident is considered one of the most widely witnessed UFO events in history, drawing attention from both the public and media. This widespread attention has kept the event in the public consciousness and has fueled ongoing curiosity and discussion about UFOs and extraterrestrial life[1][2].

2. **Shift in Skepticism**: The event led some skeptics to reconsider their views on UFOs. For instance, former Arizona Governor Fife Symington, who initially mocked the sightings, later admitted to witnessing the event and described it as ""otherworldly""[4]. This shift among notable figures has contributed to a more open public discourse on the possibility of extraterrestrial life.

3. **Cultural and Media Influence**: The Phoenix Lights have been featured in documentaries, books, and media reports, contributing to the cultural narrative surrounding UFOs. Dr. Lynne D. Kitei's work on documenting and promoting awareness of the Phoenix Lights has played a significant role in maintaining public interest and advancing discussions on UFO disclosure[4].

4. **Community and Legacy**: The event has become a part of Arizona's cultural identity, with annual commemorations and community events celebrating the sighting. This has helped keep the topic alive in public discourse and has encouraged ongoing investigation and debate[1][3].

Overall, the Phoenix Lights incident has had a lasting impact on public opinion by increasing interest in UFOs, challenging skepticism, and becoming a significant part of cultural and media narratives surrounding extraterrestrial phenomena.

Citations:
[1] https://www.youtube.com/watch?v=rjv9EmaBaVw
[2] https://en.wikipedia.org/wiki/Phoenix_Lights
[3] https://www.axios.com/local/phoenix/2024/03/13/lights-arizona-ufo-legend-1997
[4] https://www.amazon.com/Phoenix-Lights-Skeptics-Discovery-Alone/dp/1571746323
[5] https://go.gale.com/ps/i.do?id=GALE%7CA182976232&issn=10639330&it=r&linkaccess=abs&p=AONE&sid=googleScholar&sw=w&v=2.1

Citations:
[1] https://www.amazon.com/Phoenix-Lights-Skeptics-Discovery-Alone/dp/1571746323
[2] https://abcnews.go.com/Technology/phoenix-ufo-mystery-solved-lights-high-school-football/story?id=14884994
[3] https://www.youtube.com/watch?v=rjv9EmaBaVw
[4] https://go.gale.com/ps/i.do?id=GALE%7CA182976232&issn=10639330&it=r&linkaccess=abs&p=AONE&sid=googleScholar&sw=w&v=2.1
[5] https://www.amazon.com/Phoenix-Lights-Lynne-D-Kitei/dp/1571743774",33.4484," Phoenix, Arizona, USA",-112.074,{},"Phoenix Lights",,,
rec_cobdg3tbjt595h6375s0,1996-01-20T06:00:00Z,"In 1996, various individuals reported possibly unrelated
incidents with what they described as UFOs, creatures, and the
Brazilian military. [155] The events are the inspiration for saucer-
shaped Varginha water tower, the Nave Espacial de Varginha;
the 1998 Brazilian video game Incidente em Varginha; and
1996, a film by director Rodrigo Brandão.",-21.556," Varginha, Minas Gerais SA, Brazil",-45.4364,{},"Varginha UFO
incident",,,
rec_cobdg3tbjt595h6375sg,1994-09-16T05:00:00Z,"Over sixty students reported seeing a silver craft land in a field
near the school. They described occupants dressed in all black
that exited the silver object. [154]",-17.9027," Ruwa AF, Zimbabwe",31.2369,{},"Ariel School
UFO incident",,,
rec_cobdg3tbjt595h6375t0,1994-07-16T05:00:00Z,"A Chinese woodcutter reported being taken aboard foreign
entites' spaceship where he was made to witness the collision
of a comet into Jupiter. [153]",44.9319," Heilongjiang, Wuchang AS, China",127.1675,{},"Meng Zhaoguo
incident",,,
rec_cobdg3tbjt595h6375tg,1993-07-12T05:00:00Z,"Around 8:00 pm, a glowing flying object appeared in the sky of
Cerrik, Elbasan. According to eyewitness accounts, the
illuminated object made sudden and quick movements. The
news that a UFO was flying around quickly spread throughout
the town. Law enforcement was notified, and they tried to limit
the spread of panic among the population. The glowing object
disappeared from the sky around 10:00 pm, according to
eyewitness accounts. [152]",41.0254," Cerrik, Elbasan EU, Albania",19.9865,{},"Cerrik UFO
incident",,,
rec_cobdg3tbjt595h6375u0,1990-08-01T05:00:00Z,"Gezim Dapi and five other soldiers reported a series of lights
arranged in a diamond-like pattern in the sky, moving at high
speed with minimal noise. They were questioned by their
superiors, and the incident was reported by the Labour Youth
Union of Albania's biweekly newspaper, ""Z i Rinise"". [152]",42.0693," Shkoder EU, Albania",19.5033,{},"Shkoder UFO
incident",,,
rec_cobdg3tbjt595h6375ug,1989-11-01T06:00:00Z,"Thousands of citizens, police, and two Belgian Air Force F-16 pilots https://www.bbc.com/news/magazine-29342407",50.5039," Belgium",4.4699,{},"Belgian UFO Wave",,,
rec_cobdg3tbjt595h6375v0,1987-12-01T06:00:00Z,"Retired police officer, Philip Spencer, took a photograph of what
he said was a strange being on the moor. According to Spencer,
the being fled after being photographed and left in a domed
craft. [150][151]",53.9164," Ilkley Moor EU, United Kingdom",-1.8008,{},"Ilkley Moor
UFO incident",,,
rec_cobdg3tbjt595h6375vg,1986-11-17T06:00:00Z,"While piloting a Japanese Boeing 747-200F cargo aircraft on a
polar route from France to Narita International Airport in Japan,
the flight crew witnessed several unidentified objects over eastern Alaska. Captain Kenju Terauchi , Terauchi
Kenju), co-pilot Takanori Tamefuji Tamefuji
Takanori), and flight engineer Yoshio Tsukuda Tsukuda
Yoshio) reported rectangular arrays of what Captain Terauchi
described as glowing nozzles or thrusters. [148][149]",63.5888," Alaska NA, United States",-154.4931,{},"Japan Air Lines
Cargo Flight
1628 incident",,,
rec_cobdg3tbjt595h637600,1986-05-19T05:00:00Z,"Radar and visual contacts were obtained with multiple 'bright
colorful objects' in the sky across several states. Mirage IIIE
and F-5 fighters were scrambled but failed to intercept, with
pilots describing the objects as capable of impossible
maneuvers and rapidly accelerating to as much as Mach 15
once approached. [147]",," São Paulo, Rio de Janeiro, Minas Gerais and Goiás SA, Brazil",,{},"""Night of the
UFOs"" in Brazil",,,
rec_cobdg3tbjt595h63760g,1983-01-01T06:00:00Z,"State police discovered that widespread reports of a massive
object-described by one observer as a ""city of lights"" hanging
silently above their home-were caused by a group of pilots
flying small aircraft in formation. The events were the subject of
an Unsolved Mysteries episode and Night Siege, a posthumous
collaboration between ufologists including J. Allen
Hynek. [143][144][145][146]",41.9209," Hudson Valley, New York NA, United States",-73.9613,{},"Hudson Valley
Sightings",,,
rec_cobdg3tbjt595h637610,1981-01-08T06:00:00Z,"Retired contractor, Renato Nicolai reported the landing of a
flying object near his home to local police. Renato believed it to
be a military craft. Groupe d'Étude des Phénomènes
Aérospatiaux Non-identifiés (GEPAN), a branch of French
Space Agency created to investigate UFOs, conducted an
investigation, photographed circular impressions on the ground,
and took samples of the area. [140] Skeptics have been critical
of the GEPAN investigation which took place 40 days after the
initial sighting. [141][142]",43.5041," Trans-en- Provence, Provence-Alpes- Côte d'Azur EU, France",6.496,{},"Trans-en-
Provence case",,,
rec_cobdg3tbjt595h63761g,1980-12-29T06:00:00Z,"Betty Cash, Vickie Landrum, Colby Landrum https://www.ufoinsight.com/ufos/close-encounters/cash-landrum-ufo-incident",32.0085," Piney Woods, Texas, USA",-94.2483,{},"Cash-Landrum Incident",,,
rec_cobdg3tbjt595h63762g,1980-12-24T06:00:00Z,"The Rendlesham Forest incident, often referred to as ""Britain's Roswell,"" is one of the most famous UFO events in the United Kingdom. It occurred in December 1980 near Rendlesham Forest in Suffolk, England, close to the RAF Woodbridge and RAF Bentwaters, which were used by the United States Air Force (USAF) at the time[1][2].

### Main Events

#### December 26, 1980
Around 3:00 AM on December 26, 1980, USAF personnel reported seeing unexplained lights descending into the forest. The lights were initially thought to be a downed aircraft. Upon investigation, servicemen, including Sergeant Jim Penniston, reported encountering a glowing, metallic object with colored lights. The object appeared to move through the trees, causing nearby farm animals to go into a frenzy. Local police were called but only observed lights from the Orfordness Lighthouse[1].

After daylight, servicemen found three small impressions on the ground in a triangular pattern, alongside burn marks and broken branches. These impressions were thought by local police to possibly be made by animals[1].

#### December 28, 1980
Two nights later, on December 28, more strange lights were reported. Lt. Col. Charles Halt led a team into the forest and recorded his observations on a tape recorder. They noted abnormal radiation levels at the site and witnessed a red light moving through the trees, which then broke into multiple objects and moved across the sky[5].

### Investigation and Theories

The UK Ministry of Defence did not consider the incident a threat to national security and therefore did not conduct a formal investigation. Skeptics have suggested that the sightings could be attributed to a combination of a fireball, the Orfordness Lighthouse, and bright stars[2].

Despite the lack of official investigation, the incident has been the subject of numerous books, articles, and documentaries. Some theories suggest it could have been a misinterpretation of natural phenomena or even a secret military operation. Others believe it involved extraterrestrial activity[2][5].

### Cultural Impact

The incident has achieved legendary status, akin to the Loch Ness Monster or King Arthur. Rendlesham Forest now features a UFO trail, complete with a replica of a flying saucer, attracting tourists and UFO enthusiasts[2]. The case remains a topic of debate and speculation, with some believing it was part of a Cold War-related cover-up[2][5].

Citations:
[1] https://en.wikipedia.org/wiki/Rendlesham_Forest_incident
[2] https://www.bbc.com/news/uk-england-suffolk-54649675
[3] https://www.nbcnews.com/id/wbna32451823
[4] https://www.amazon.com/Encounter-Rendlesham-Forest-Best-Documented-Incident/dp/1250038103
[5] https://science.howstuffworks.com/space/aliens-ufos/rendlesham-forest-incident.htm

United States Air Force personnel reported various unusual
observations at RAF Woodbridge and RAF Bentwaters, two
American air bases located in England. Their reports included
lights in the sky, a metallic triangular object in the forest, multi-
colored lights moving through the forest, and higher levels of
radiation. US Air Force personnel, including Lt. Col. Charles Halt https://www.bbc.com/news/uk-england-suffolk-25454915",52.0838," Rendlesham Forest, Suffolk, England EU, United Kingdom",1.4333,{},"Rendlesham Forest incident",,,
rec_cobdg3tbjt595h637630,1980-04-11T06:00:00Z,"Early in the morning of April 11, La Joya Air Force Base ordered
fighter pilot Oscar Santa María Huertas to intercept an object in
restricted air space. Huertas pursued the object in a Sukhoi Su-
22 and fired a barrage of 30mm shells into it. According to
Huertas the object did not seem damaged and rose to 19,200
meters. He described it as similar in shape to an incandescent
lightbulb with a much wider circular silver base and said that it
""lacked all the typical components of aircraft. It had no wings,
propulsion jets, exhausts, windows, antennae, and so
forth"". [135][136][137][138]",-16.157," Arequipa Region SA, Peru",-72.3311,{},"Arequipa UFO
incident",,,
rec_cobdg3tbjt595h63763g,1979-11-11T06:00:00Z,"En route to Las Palmas, commercial pilot Francisco Javier
Lerdo de Tejada radioed air traffic control regarding a pair of red
lights approaching his TAE Supercaravelle. Neither air traffic
control in Barcelona nor the military identified the object. Tejada
made an emergency landing at the nearby airport in
Manises. [134]",39.4699," Valencia, Valencian Community EU, Spain",-0.3763,{},"Manises UFO
incident",,,
rec_cobdg3tbjt595h637640,1978-12-01T06:00:00Z,"Italian nightwatchman Pier Fortunato Zanfretta perceived a red,
oval object and phoned his supervisor. During the call, he
described non-human creatures that he said were attacking
him. He was later found in a state of shock and his experience
was adapted into a stage play.[133]",44.5109," Torriglia, Genoa EU, Italy",9.1632,{},"Zanfretta UFO
Incident",,,
rec_cobdg3tbjt595h637650,1978-10-21T05:00:00Z,"Frederick Valentich left Moorabbin Airport in a Cessna 182
Skylane, a single-engined light aircraft. At 7:06 pm, he began
reporting a strange craft to Melbourne air traffic control.
Valentich's last words were, ""That strange aircraft is hovering
on top of me again it is hovering and it's not an aircraft. [131]
Neither the pilot nor the plane were ever found. [132]",-36.9848," Victoria OC, Australia",143.3906,{},"Valentich
disappearance",,,
rec_cobdg3tbjt595h63765g,1978-05-10T05:00:00Z,"Polish farmer Jan Wolski reported that while returning home,
two ""short, green-faced humanoid entities"" wearing black
overalls jumped onto his horse-drawn cart and started speaking
an incomprehensible language. After about 1000 ft (300 m), he
reported seeing a white flying object, from which an alien
creature came out and invited Wolski inside. The farmer said
that they examined him once inside. [130]",51.1352," Emilcin, Lublin Voivodeship EU, Poland",22.0387,{},"Emilcin
Abduction",,,
rec_cobdg3tbjt595h637660,1977-09-20T05:00:00Z,"Residents of Petrozavodsk reported a giant glowing ""jellyfish""
of light (visible for over ten minutes) looming in the early
morning sky. The light was seen and photographed in several
Baltic Sea countries. In response to the phenomenon, the
Soviet Union created a government program to study
anomalous atmospheric phenomena. This program would later
attribute the Petrozavodsk sightings to the secret night launch
of the Kosmos 955 spy satellite. According to Soviet
astrophysicist, Yuli Platov, sunlight can cause the giant plumes
of gas and dust produced by rockets to glow, especially ""in
twilight hours, when the rocket streaks through sunlit regions
and the observer is on the nighttime side of the Earth.' [129]",," EU, Soviet Union, Finland, Lithuania, and Denmark",,{},"Petrozavodsk
phenomenon",,,
rec_cobdg3tbjt595h63766g,1976-09-17T05:00:00Z,"The 1976 Tehran UFO Incident was a radar and visual sighting
of a UFO over the capital of Iran, during early morning hours.
Two Imperial Iranian Air Force F-4 Phantom II jet interceptors
reported losing instrumentation and communications as they
approached the object. [128]",35.7219," Tehran, Tehran province AS, Iran",51.3347,{},"1976 Tehran
UFO incident",,,
rec_cobdg3tbjt595h637670,1976-01-01T06:00:00Z,"According to Pliny the Elder, a spark fell from a star and
grew as it descended until it appeared to be the size of the
Moon. It then ascended and transformed into a torch.
Astronomer Richard Stothers interpreted the report as a
description of a bolide. 2][13]",," Asia AS, Roman Republic",,{},"Spark from a
falling star",,,
rec_cobdg3tbjt595h63767g,1975-11-05T06:00:00Z,"Travis Walton, Mike Rogers, and a logging crew https://www.history.com/news/an-alien-abduction-story-that-turned-heads-travis-walton.Logger Travis Walton disappeared for over 5 days resulting in a
police investigation of his coworkers. When questioned on
where he had been, Walton said that he had been taken aboard
a spacecraft by nearly human creatures. [126] Walton's alien
abduction account is the basis for the book The Walton
Experience (1978), the film Fire in the Sky (1993), and the
documentary ""Alien Abduction: Travis Walton"" (2022). Logger Travis Walton disappeared for over 5 days resulting in a
police investigation of his coworkers. When questioned on
where he had been, Walton said that he had been taken aboard
a spacecraft by nearly human creatures. [126] Walton's alien
abduction account is the basis for the book The Walton
Experience (1978), the film Fire in the Sky (1993), and the
documentary ""Alien Abduction: Travis Walton"" (2022). [127]",34.4167," Apache-Sitgreaves National Forests, Arizona, USA",-110.501,{},"Travis Walton Abduction",,,
rec_cobdg3tbjt595h63768g,1974-08-23T05:00:00Z,"Musician John Lennon and then-assistant May Pang report seeing
a craft emitting lights that changed color in the night sky above
their Manhattan penthouse. Lennon would later reference this
experience in his song ""Nobody Told Me"" [124][125]",40.7128," New York City, New York NA, United States",-74.006,{},"John Lennon
UFO incident",,,
rec_cobdg3tbjt595h637690,1974-01-23T05:00:00Z,"An alleged UFO crash involving lights in the sky moments before a
large impact shock. The cause of the incident was however soon
revealed as a 3.5 magnitude earthquake. [122][123]",52.9226," Llandrillo, Merionethshire, North Wales EU, United Kingdom",-3.4358,{},"Berwyn
Mountain
UFO incident",,,
rec_cobdg3tbjt595h63769g,1973-10-11T05:00:00Z,"Charles Hickson and Calvin Parker were fishing from a pier on the
Pascagoula River when they say that they heard whirring sounds
and witnessed a craft over 30 feet long with flashing lights. Both
men say they were paralyzed and then taken by humanoids with
""robotic slit-mouths"" and ""crab-like pincers"". [120][121]",30.3658," Pascagoula, Mississippi NA, United States",-88.5561,{},"Pascagoula
Abduction",,,
rec_cobdg3tbjt595h6376a0,1973-01-01T06:00:00Z,"According to Plutarch, a Roman army commanded by
Lucullus was about to begin a battle with Mithridates VI of
Pontus when ""the sky burst asunder, and a huge, flame-
like body was seen to fall between the two armies"".
Plutarch reports the shape of the object as like a wine-jar
(pithos). [14][11]",," Phrygia, Asia AS, Roman Republic",,{},"Flame-like
wine-jars from
the sky",,,
rec_cobdg3tbjt595h6376ag,1969-09-01T05:00:00Z,"Four families with no prior connection alleged that they saw a UFO,
were moved by a beam of light, and lost several hours of time. The
Great Barrington Historical Society recognized the accounts as a
""historical event"" in 2015. [119]",42.3118," Berkshire County, Massachusetts NA, United States",-73.1822,{},"Labor Day
1969 UFO
Incident",,,
rec_cobdg3tbjt595h6376b0,1969-04-12T06:00:00Z,"Finnish pilot Jouko Kuronen overheard a radio conversation
between air traffic control and fighter pilot Tarmo Tukeva. Tukeva
was ordered to investigate ""seven balloons"" visible from Kuronen’s position in the sky. Kuronen described the objects as discs that
accelerated in formation against the wind at speeds not feasible for
balloons. [118]",61.4767," Pori EU, Finland",21.7746,{},"Finnish Air
Force
sighting",,,
rec_cobdg3tbjt595h6376bg,1969-01-06T06:00:00Z,"While governor of Georgia, future president Jimmy Carter filed a
written report of a ""luminous, not solid"" light over Leary, Georgia in
1969. [117]",31.4857," Leary, Georgia NA, United States",-84.5138,{},"Jimmy Carter
UFO incident",,,
rec_cobdg3tbjt595h6376c0,1967-10-01T05:00:00Z,"Royal Canadian Mounted Police and six civilians reported that a
large illuminated object crashed into Shag Harbour. A Department of
National Defence underwater search followed, but located no
physical evidence. [115][116]",43.4987," Gulf of Maine near Shag Harbour, Nova Scotia NA, Canada",-65.6998,{},"Shag Harbour
UFO incident",,,
rec_cobdg3tbjt595h6376cg,1967-08-29T05:00:00Z,"A 13-year-old boy and his younger sister reported an incident to
their father, local police, and investigators. According to police
reports, they witnessed a brilliant sphere and four small black
occupants while herding cattle outside their village. [114]",44.9845," near Cussac, Auvergne EU, France",2.9344,{},"Close
encounter of
Cussac",,,
rec_cobdg3tbjt595h6376d0,1967-05-20T05:00:00Z,"Stefan Michalak https://www.cbc.ca/news/canada/manitoba/falcon-lake-incident-manitobas-best-documented-ufo-encounter-still-fascinates-51-years-later-1.4674448",49.6849," Falcon Lake, Manitoba, Canada",-95.3288,{},"Falcon Lake Incident",,,
rec_cobdg3tbjt595h6376e0,1966-04-06T06:00:00Z,"Several hundred students and school faculty from Westall High
School watched an object land at the nearby Grange Reserve. Over 200 students and teachers from Westall High School https://www.nationalgeographic.com.au/history/australias-most-famous-ufo-sighting.aspx",-37.9414," Clayton South, Victoria OC, Australia",145.1262,{},"Westall UFO",,,
