id,city,coordinates,google-maps-location-id,latitude,longitude,name,state
rec_cp1v7934f9p514bq688g,"Stilwell","38.7691667, -94.6561111",,38.7691667,-94.6561111,"Stilwell, Kansas","Kansas"
rec_cp1v7934f9p514bq6890,"Highland Springs","37.5458333, -77.3280556","eyJpIjoiMzcuNTQ1ODMzMywgLTc3LjMyODA1NTYiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjozNy41NDU4MzMsImxuZyI6LTc3LjMyODA1NiwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",37.5458333,-77.3280556,"Highland Springs, Virginia","Virginia"
rec_cp1v7934f9p514bq689g,"Yazd","31.897423, 54.356856",,31.897423,54.356856,"Yazd, Yazd","Yazd"
rec_cp1v7934f9p514bq68a0,"Walla Walla","46.094722, -118.287778","eyJpIjoiNDYuMDk0NzIyLCAtMTE4LjI4Nzc3OCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ2LjA5NDcyMiwibG5nIjotMTE4LjI4Nzc3OCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",46.094722,-118.287778,"Walla Walla, Washington","Washington"
rec_cp1v7934f9p514bq68ag,"Toledo","46.417003, -122.753327",,46.417003,-122.753327,"Toledo, Washington","Washington"
rec_cp1v7934f9p514bq68b0,"Hilliards","41.0858333, -79.8336111","eyJpIjoiNDEuMDg1ODMzMywgLTc5LjgzMzYxMTEiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0MS4wODU4MzMsImxuZyI6LTc5LjgzMzYxMSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",41.0858333,-79.8336111,"Hilliards, Pennsylvania","Pennsylvania"
rec_cp1v7934f9p514bq68bg,"Woodford Island","-29.515278, 153.134722",,-29.515278,153.134722,"Woodford Island, New South Wales","New South Wales"
rec_cp1v7934f9p514bq68c0,"Clatonia","40.4652778, -96.8494444","eyJpIjoiNDAuNDY1Mjc3OCwgLTk2Ljg0OTQ0NDQiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0MC40NjUyNzgsImxuZyI6LTk2Ljg0OTQ0NCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",40.4652778,-96.8494444,"Clatonia, Nebraska","Nebraska"
rec_cp1v7934f9p514bq68cg,"Erwin","36.145, -82.4169444",,36.145,-82.4169444,"Erwin, Tennessee","Tennessee"
rec_cp1v7934f9p514bq68d0,"Sand City","36.6111111, -121.8505556","eyJpIjoiMzYuNjExMTExMSwgLTEyMS44NTA1NTU2IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6MzYuNjExMTExLCJsbmciOi0xMjEuODUwNTU2LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",36.6111111,-121.8505556,"Sand City, California","California"
rec_cp1v7934f9p514bq68dg,"Riverbank","37.7361111, -120.9344444",,37.7361111,-120.9344444,"Riverbank, California","California"
rec_cp1v7934f9p514bq68e0,"Crystal City","28.6772222, -99.8277778",,28.6772222,-99.8277778,"Crystal City, Texas","Texas"
rec_cp1v7934f9p514bq68eg,"Hounslow","51.466667, -0.35","eyJpIjoiNTEuNDY2NjY3LCAtMC4zNSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjUxLjQ2NjY2NywibG5nIjotMC4zNSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",51.466667,-0.35,"Hounslow, England","England"
rec_cp1v7934f9p514bq68f0,"Edson","53.583333, -116.416667","eyJpIjoiNTMuNTgzMzMzLCAtMTE2LjQxNjY2NyIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjUzLjU4MzMzMywibG5nIjotMTE2LjQxNjY2NywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",53.583333,-116.416667,"Edson, Alberta","Alberta"
rec_cp1v7934f9p514bq68fg,"Joppa","39.415, -76.356111",,39.415,-76.356111,"Joppa, Maryland","Maryland"
rec_cp1v7934f9p514bq68g0,"Paris","43.7733333, -85.5025",,43.7733333,-85.5025,"Paris, Michigan","Michigan"
rec_cp1v7934f9p514bq68gg,"Lake Tapps","47.214793, -122.170177","eyJpIjoiNDcuMjE0NzkzLCAtMTIyLjE3MDE3NyIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ3LjIxNDc5MywibG5nIjotMTIyLjE3MDE3NywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",47.214793,-122.170177,"Lake Tapps, Washington","Washington"
rec_cp1v7934f9p514bq68h0,"Ford","37.174903, -77.769477",,37.174903,-77.769477,"Ford, Virginia","Virginia"
rec_cp1v7934f9p514bq68hg,"Scarborough","54.287222, -0.414167","eyJpIjoiNTQuMjg3MjIyLCAtMC40MTQxNjciLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo1NC4yODcyMjIsImxuZyI6LTAuNDE0MTY3LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",54.287222,-0.414167,"Scarborough, England","England"
rec_cp1v7934f9p514bq68i0,"Prunedale","36.7758333, -121.6686111",,36.7758333,-121.6686111,"Prunedale, California","California"
rec_cp1v7934f9p514bq68ig,"Elgin","57.65, -3.333333","eyJpIjoiNTcuNjUsIC0zLjMzMzMzMyIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjU3LjY1LCJsbmciOi0zLjMzMzMzMywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",57.65,-3.333333,"Elgin, Scotland","Scotland"
rec_cp1v7934f9p514bq68j0,"Fairhaven","41.6375, -70.9041667",,41.6375,-70.9041667,"Fairhaven, Massachusetts","Massachusetts"
rec_cp1v7934f9p514bq68jg,"Glorieta","35.583091, -105.770017","eyJpIjoiMzUuNTgzMDkxLCAtMTA1Ljc3MDAxNyIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjM1LjU4MzA5MSwibG5nIjotMTA1Ljc3MDAxNywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",35.583091,-105.770017,"Glorieta, New Mexico","New Mexico"
rec_cp1v7934f9p514bq68k0,"Whitefish","48.4111111, -114.3366667",,48.4111111,-114.3366667,"Whitefish, Montana","Montana"
rec_cp1v7934f9p514bq68kg,"Porthcawl","51.479722, -3.706111","eyJpIjoiNTEuNDc5NzIyLCAtMy43MDYxMTEiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo1MS40Nzk3MjIsImxuZyI6LTMuNzA2MTExLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",51.479722,-3.706111,"Porthcawl, Wales","Wales"
rec_cp1v7934f9p514bq68l0,"Harlow","51.767787, 0.087806",,51.767787,0.087806,"Harlow, England","England"
rec_cp1v7934f9p514bq68lg,"Longview","46.1383333, -122.9369444","eyJpIjoiNDYuMTM4MzMzMywgLTEyMi45MzY5NDQ0IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDYuMTM4MzMzLCJsbmciOi0xMjIuOTM2OTQ0LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",46.1383333,-122.9369444,"Longview, Washington","Washington"
rec_cp1v7934f9p514bq68m0,,"40.381806, 49.830253","eyJpIjoiNDAuMzgxODA2LCA0OS44MzAyNTMiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0MC4zODE4MDYsImxuZyI6NDkuODMwMjUzLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",40.381806,49.830253,"Azerbaijan","Baku"
rec_cp1v7934f9p514bq68mg,"Gerrardstown","39.3702778, -78.0958333","eyJpIjoiMzkuMzcwMjc3OCwgLTc4LjA5NTgzMzMiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjozOS4zNzAyNzgsImxuZyI6LTc4LjA5NTgzMywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",39.3702778,-78.0958333,"Gerrardstown, West Virginia","West Virginia"
rec_cp1v7934f9p514bq68n0,"Hampton","36.974286, -76.367036",,36.974286,-76.367036,"Hampton, Virginia","Virginia"
rec_cp1v7934f9p514bq68ng,"Sunny Isles Beach","25.942871, -80.12338",,25.942871,-80.12338,"Sunny Isles Beach, Florida","Florida"
rec_cp1v7934f9p514bq68o0,"Floyd","36.9111111, -80.3202778","eyJpIjoiMzYuOTExMTExMSwgLTgwLjMyMDI3NzgiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjozNi45MTExMTEsImxuZyI6LTgwLjMyMDI3OCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",36.9111111,-80.3202778,"Floyd, Virginia","Virginia"
rec_cp1v7934f9p514bq68og,"Paris","35.296832, -93.685778",,35.296832,-93.685778,"Paris, Arkansas","Arkansas"
rec_cp1v7934f9p514bq68p0,"Portage","43.5391667, -89.4625","eyJpIjoiNDMuNTM5MTY2NywgLTg5LjQ2MjUiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0My41MzkxNjcsImxuZyI6LTg5LjQ2MjUsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXBLRnEyZHVlZXdXUmw0Il0sImxvY2F0aW9uRmllbGRJZCI6ImZsZFljOWFqa09DUElldDFQIn0sImUiOjB9",43.5391667,-89.4625,"Portage, Wisconsin","Wisconsin"
rec_cp1v7934f9p514bq68pg,"Ludington","43.9552778, -86.4525",,43.9552778,-86.4525,"Ludington, Michigan","Michigan"
rec_cp1v7934f9p514bq68q0,"Diamond Bar","34.028623, -117.810337",,34.028623,-117.810337,"Diamond Bar, California","California"
rec_cp1v7934f9p514bq68qg,"Dallas","32.906413, -96.781524","eyJpIjoiMzIuOTA2NDEzLCAtOTYuNzgxNTI0IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6MzIuOTA2NDEzLCJsbmciOi05Ni43ODE1MjQsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXBLRnEyZHVlZXdXUmw0Il0sImxvY2F0aW9uRmllbGRJZCI6ImZsZFljOWFqa09DUElldDFQIn0sImUiOjB9",32.906413,-96.781524,"Dallas, Texas","Texas"
rec_cp1v7934f9p514bq68r0,"Elkhart","41.6819444, -85.9766667",,41.6819444,-85.9766667,"Elkhart, Indiana","Indiana"
rec_cp1v7934f9p514bq68rg,"Holden","42.3516667, -71.8638889","eyJpIjoiNDIuMzUxNjY2NywgLTcxLjg2Mzg4ODkiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0Mi4zNTE2NjcsImxuZyI6LTcxLjg2Mzg4OSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",42.3516667,-71.8638889,"Holden, Massachusetts","Massachusetts"
rec_cp1v7934f9p514bq68s0,"Whitney","31.9516667, -97.3211111",,31.9516667,-97.3211111,"Whitney, Texas","Texas"
rec_cp1v7934f9p514bq68sg,"North Kingstown","41.55, -71.4666667","eyJpIjoiNDEuNTUsIC03MS40NjY2NjY3IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDEuNTUsImxuZyI6LTcxLjQ2NjY2NywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",41.55,-71.4666667,"North Kingstown, Rhode Island","Rhode Island"
rec_cp1v7934f9p514bq68t0,"Elkland","37.4430556, -93.0308333",,37.4430556,-93.0308333,"Elkland, Missouri","Missouri"
rec_cp1v7934f9p514bq68tg,"Cloudcroft","32.957313, -105.742485","eyJpIjoiMzIuOTU3MzEzLCAtMTA1Ljc0MjQ4NSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjMyLjk1NzMxMywibG5nIjotMTA1Ljc0MjQ4NSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",32.957313,-105.742485,"Cloudcroft, New Mexico","New Mexico"
rec_cp1v7934f9p514bq68u0,"Harlingen","26.1902778, -97.6958333",,26.1902778,-97.6958333,"Harlingen, Texas","Texas"
rec_cp1v7934f9p514bq68ug,"Jerome","37.9261111, -91.9775","eyJpIjoiMzcuOTI2MTExMSwgLTkxLjk3NzUiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjozNy45MjYxMTEsImxuZyI6LTkxLjk3NzUsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXBLRnEyZHVlZXdXUmw0Il0sImxvY2F0aW9uRmllbGRJZCI6ImZsZFljOWFqa09DUElldDFQIn0sImUiOjB9",37.9261111,-91.9775,"Jerome, Missouri","Missouri"
rec_cp1v7934f9p514bq68v0,"Wildersville","35.781667, -88.389444",,35.781667,-88.389444,"Wildersville, Tennessee","Tennessee"
rec_cp1v7934f9p514bq68vg,"Runge","28.8830556, -97.7127778",,28.8830556,-97.7127778,"Runge, Texas","Texas"
rec_cp1v7934f9p514bq6900,"Naples","26.1416667, -81.795","eyJpIjoiMjYuMTQxNjY2NywgLTgxLjc5NSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjI2LjE0MTY2NywibG5nIjotODEuNzk1LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",26.1416667,-81.795,"Naples, Florida","Florida"
rec_cp1v7934f9p514bq690g,"Ingleside","27.8775, -97.2113889",,27.8775,-97.2113889,"Ingleside, Texas","Texas"
rec_cp1v7934f9p514bq6910,"Fortson","32.6069444, -84.9372222","eyJpIjoiMzIuNjA2OTQ0NCwgLTg0LjkzNzIyMjIiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjozMi42MDY5NDQsImxuZyI6LTg0LjkzNzIyMiwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",32.6069444,-84.9372222,"Fortson, Georgia","Georgia"
rec_cp1v7934f9p514bq691g,"Searcy","35.2505556, -91.7361111",,35.2505556,-91.7361111,"Searcy, Arkansas","Arkansas"
rec_cp1v7934f9p514bq6920,"Selby","53.783333, -1.066667","eyJpIjoiNTMuNzgzMzMzLCAtMS4wNjY2NjciLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo1My43ODMzMzMsImxuZyI6LTEuMDY2NjY3LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",53.783333,-1.066667,"Selby, England","England"
rec_cp1v7934f9p514bq692g,"Zanesville","39.8991667, -82.0063889",,39.8991667,-82.0063889,"Zanesville, Ohio","Ohio"
rec_cp1v7934f9p514bq6930,"Oxford","51.75, -1.25","eyJpIjoiNTEuNzUsIC0xLjI1IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NTEuNzUsImxuZyI6LTEuMjUsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXBLRnEyZHVlZXdXUmw0Il0sImxvY2F0aW9uRmllbGRJZCI6ImZsZFljOWFqa09DUElldDFQIn0sImUiOjB9",51.75,-1.25,"Oxford, England","England"
rec_cp1v7934f9p514bq693g,"Winter Park","28.582816, -81.339941",,28.582816,-81.339941,"Winter Park, Florida","Florida"
rec_cp1v7934f9p514bq6940,"Lost Creek","39.1611111, -80.3522222",,39.1611111,-80.3522222,"Lost Creek, West Virginia","West Virginia"
rec_cp1v7934f9p514bq694g,"Gitwinksihlkw","55.06786, -128.970778","eyJpIjoiNTUuMDY3ODYsIC0xMjguOTcwNzc4IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NTUuMDY3ODYsImxuZyI6LTEyOC45NzA3NzgsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXBLRnEyZHVlZXdXUmw0Il0sImxvY2F0aW9uRmllbGRJZCI6ImZsZFljOWFqa09DUElldDFQIn0sImUiOjB9",55.06786,-128.970778,"Gitwinksihlkw, British Columbia","British Columbia"
rec_cp1v7934f9p514bq6950,"Fort Worth","32.745877, -97.386775",,32.745877,-97.386775,"Fort Worth, Texas","Texas"
rec_cp1v7934f9p514bq695g,"Hamilton","55.766667, -4.033333","eyJpIjoiNTUuNzY2NjY3LCAtNC4wMzMzMzMiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo1NS43NjY2NjcsImxuZyI6LTQuMDMzMzMzLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",55.766667,-4.033333,"Hamilton, Scotland","Scotland"
rec_cp1v7934f9p514bq6960,"Mount Hood Parkdale","45.5380556, -121.5672222",,45.5380556,-121.5672222,"Mount Hood Parkdale, Oregon","Oregon"
rec_cp1v7934f9p514bq696g,"Mooresville","39.6127778, -86.3741667",,39.6127778,-86.3741667,"Mooresville, Indiana","Indiana"
rec_cp1v7934f9p514bq6970,"Rinard","38.5705556, -88.4655556","eyJpIjoiMzguNTcwNTU1NiwgLTg4LjQ2NTU1NTYiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjozOC41NzA1NTYsImxuZyI6LTg4LjQ2NTU1NiwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",38.5705556,-88.4655556,"Rinard, Illinois","Illinois"
rec_cp1v7934f9p514bq697g,"Wytheville","36.9483333, -81.085",,36.9483333,-81.085,"Wytheville, Virginia","Virginia"
rec_cp1v7934f9p514bq6980,"Summerfield","38.597271, -89.751762","eyJpIjoiMzguNTk3MjcxLCAtODkuNzUxNzYyIiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6MzguNTk3MjcxLCJsbmciOi04OS43NTE3NjIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXBLRnEyZHVlZXdXUmw0Il0sImxvY2F0aW9uRmllbGRJZCI6ImZsZFljOWFqa09DUElldDFQIn0sImUiOjB9",38.597271,-89.751762,"Summerfield, Illinois","Illinois"
rec_cp1v7934f9p514bq698g,"Sharon","42.8130556, -71.9161111",,42.8130556,-71.9161111,"Sharon, New Hampshire","New Hampshire"
rec_cp1v7934f9p514bq6990,"Yorktown Heights","41.3275, -73.82","eyJpIjoiNDEuMzI3NSwgLTczLjgyIiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDEuMzI3NSwibG5nIjotNzMuODIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXBLRnEyZHVlZXdXUmw0Il0sImxvY2F0aW9uRmllbGRJZCI6ImZsZFljOWFqa09DUElldDFQIn0sImUiOjB9",41.3275,-73.82,"Yorktown Heights, New York","New York"
rec_cp1v7934f9p514bq699g,"Rincon","32.2958333, -81.2355556",,32.2958333,-81.2355556,"Rincon, Georgia","Georgia"
rec_cp1v7934f9p514bq69a0,"Glenelg","39.2641667, -76.9927778",,39.2641667,-76.9927778,"Glenelg, Maryland","Maryland"
rec_cp1v7934f9p514bq69ag,"Merrillan","44.4511111, -90.8411111","eyJpIjoiNDQuNDUxMTExMSwgLTkwLjg0MTExMTEiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0NC40NTExMTEsImxuZyI6LTkwLjg0MTExMSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpcEtGcTJkdWVld1dSbDQiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkWWM5YWprT0NQSWV0MVAifSwiZSI6MH0=",44.4511111,-90.8411111,"Merrillan, Wisconsin","Wisconsin"
rec_cp1v7934f9p514bq69b0,"Sausalito","37.832628, -122.480272",,37.832628,-122.480272,"Sausalito, California","California"
rec_cp1v7934f9p514bq69bg,"Maysville","34.817299, -97.40586",,34.817299,-97.40586,"Maysville, Oklahoma","Oklahoma"
rec_cp1v7934f9p514bq69c0,"Saint Ignatius","47.32, -114.0930556","eyJpIjoiNDcuMzIsIC0xMTQuMDkzMDU1NiIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ3LjMyLCJsbmciOi0xMTQuMDkzMDU2LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlwS0ZxMmR1ZWV3V1JsNCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRZYzlhamtPQ1BJZXQxUCJ9LCJlIjowfQ==",47.32,-114.0930556,"Saint Ignatius, Montana","Montana"
rec_cp1v7934f9p514bq69cg,"Fulton","42.115, -85.3525",,42.115,-85.3525,"Fulton, Michigan","Michigan"
